CHROMATOGRAM
S:\raw data Q Exactive\@Experiments\DP00026-PhD Project\KU data\PCI-flowrate-IS-KU\Exp4\1uM\240815-PAN-001-Blank-1uM-05ulmin.raw
Data points: 117265
Time(min),ElutingPump_Pressure bar
0.21,355.39
0.210166667,355.39
0.210333333,355.39
0.2105,355.38
0.210666667,355.38
0.210833333,355.4
0.211,355.41
0.211166667,355.41
0.211333333,355.42
0.2115,355.45
0.211666667,355.46
0.211833333,355.45
0.212,355.43
0.212166667,355.42
0.212333333,355.43
0.2125,355.43
0.212666667,355.42
0.212833333,355.41
0.213,355.41
0.213166667,355.4
0.213333333,355.39
0.2135,355.4
0.213666667,355.44
0.213833333,355.47
0.214,355.49
0.214166667,355.5
0.214333333,355.52
0.2145,355.53
0.214666667,355.53
0.214833333,355.51
0.215,355.5
0.215166667,355.51
0.215333333,355.5
0.2155,355.48
0.215666667,355.46
0.215833333,355.46
0.216,355.46
0.216166667,355.46
0.216333333,355.46
0.2165,355.49
0.216666667,355.51
0.216833333,355.5
0.217,355.49
0.217166667,355.5
0.217333333,355.51
0.2175,355.51
0.217666667,355.49
0.217833333,355.47
0.218,355.48
0.218166667,355.48
0.218333333,355.47
0.2185,355.46
0.218666667,355.47
0.218833333,355.48
0.219,355.47
0.219166667,355.46
0.219333333,355.47
0.2195,355.48
0.219666667,355.48
0.219833333,355.47
0.22,355.48
0.220166667,355.51
0.220333333,355.51
0.2205,355.5
0.220666667,355.49
0.220833333,355.5
0.221,355.52
0.221166667,355.52
0.221333333,355.51
0.2215,355.5
0.221666667,355.49
0.221833333,355.47
0.222,355.45
0.222166667,355.45
0.222333333,355.48
0.2225,355.5
0.222666667,355.5
0.222833333,355.5
0.223,355.52
0.223166667,355.53
0.223333333,355.52
0.2235,355.51
0.223666667,355.51
0.223833333,355.53
0.224,355.53
0.224166667,355.52
0.224333333,355.51
0.2245,355.53
0.224666667,355.54
0.224833333,355.54
0.225,355.54
0.225166667,355.57
0.225333333,355.59
0.2255,355.59
0.225666667,355.58
0.225833333,355.6
0.226,355.62
0.226166667,355.61
0.226333333,355.59
0.2265,355.58
0.226666667,355.58
0.226833333,355.57
0.227,355.55
0.227166667,355.53
0.227333333,355.53
0.2275,355.52
0.227666667,355.51
0.227833333,355.5
0.228,355.51
0.228166667,355.53
0.228333333,355.53
0.2285,355.53
0.228666667,355.56
0.228833333,355.59
0.229,355.59
0.229166667,355.58
0.229333333,355.56
0.2295,355.57
0.229666667,355.58
0.229833333,355.57
0.23,355.55
0.230166667,355.55
0.230333333,355.54
0.2305,355.53
0.230666667,355.52
0.230833333,355.54
0.231,355.57
0.231166667,355.58
0.231333333,355.59
0.2315,355.6
0.231666667,355.61
0.231833333,355.61
0.232,355.59
0.232166667,355.56
0.232333333,355.56
0.2325,355.56
0.232666667,355.55
0.232833333,355.53
0.233,355.52
0.233166667,355.52
0.233333333,355.52
0.2335,355.52
0.233666667,355.53
0.233833333,355.56
0.234,355.57
0.234166667,355.56
0.234333333,355.56
0.2345,355.59
0.234666667,355.61
0.234833333,355.6
0.235,355.59
0.235166667,355.6
